title,url,disc_price,original_price
Authentic Uwell Caliburn G POD kit - Green,https://www.cigabuy.com/authentic-uwell-caliburn-g-pod-kit-green-p-19939.html,$31.00 ,$19.12
Authentic Ehpro Cold Steel 100 120W TC Box Mod - Black Obsidian,https://www.cigabuy.com/authentic-ehpro-cold-steel-100-120w-tc-box-mod-black-obsidian-p-15781.html,$60.78 ,$38.36
Authentic Uwell Caliburn KOKO 520mAh Pod Kit - Black,https://www.cigabuy.com/authentic-uwell-caliburn-koko-520mah-pod-kit-black-p-16142.html,$41.25 ,$20.81
Authentic Steam Crave Aromamizer Ragnar RDTA Advanced Gunmetal,https://www.cigabuy.com/authentic-steam-crave-aromamizer-ragnar-rdta-advanced-gunmetal-p-19144.html,$85.78 ,$54.77
USB Rechargeable Aluminum Alloy Battery Display Telescopic Zoom LED Flashlight,https://www.cigabuy.com/usb-rechargeable-aluminum-alloy-battery-display-telescopic-zoom-led-flashlight-p-19461.html,$19.07 ,$5.39
1 × Authentic uwell Valyrian Empty Cartridge 3ml,https://www.cigabuy.com/1-×-authentic-uwell-valyrian-empty-cartridge-3ml-p-19510.html,$4.04 ,$3.10
Authentic Uwell Caliburn G POD kit - Grey,https://www.cigabuy.com/authentic-uwell-caliburn-g-pod-kit-grey-p-19938.html,$31.00 ,$19.12
Authentic Geekvape Aegis Max 100W TC Starter Kit - Black Tungsten,https://www.cigabuy.com/authentic-geekvape-aegis-max-100w-tc-starter-kit-black-tungsten-p-18878.html,$72.97 ,$46.37
Authentic Steam Crave Aromamizer Plus V2 RDTA Advanced Kit - Black,https://www.cigabuy.com/authentic-steam-crave-aromamizer-plus-v2-rdta-advanced-kit-black-p-18331.html,$73.06 ,$44.87
10 x Authentic Wotofo Dual Core Fused Clapton Prebuilt Wire 0.62ohm,https://www.cigabuy.com/10-x-authentic-wotofo-dual-core-fused-clapton-prebuilt-wire-062ohm-p-14310.html,$4.29 ,$1.70
3 x Authentic Wotofo H15 SINGLE MESH & PARALLEL COIL 0.15ohm,https://www.cigabuy.com/3-x-authentic-wotofo-h15-single-mesh-parallel-coil-015ohm-p-19862.html,$15.50 ,$6.72
USB Blackhead Remover Face Skin Care Deep Pore Cleaner Removal Vacuum Suction,https://www.cigabuy.com/usb-blackhead-remover-face-skin-care-deep-pore-cleaner-removal-vacuum-suction-p-19621.html,$17.70 ,$4.78
Authentic Geekvape Aegis Max 100W TC Box Mod - Black Tungsten,https://www.cigabuy.com/authentic-geekvape-aegis-max-100w-tc-box-mod-black-tungsten-p-18883.html,$51.08 ,$32.56
Authentic Oumier Bulk RTA 6.5ml - Silver,https://www.cigabuy.com/authentic-oumier-bulk-rta-65ml-silver-p-14476.html,$22.23 ,$15.99
Yangmaile Gaming Keyboard Mechanical Feel G700 LED Rainbow Color Backlight Gamin,https://www.cigabuy.com/yangmaile-gaming-keyboard-mechanical-feel-g700-led-rainbow-color-backlight-gamin-p-19613.html,$49.57 ,$7.63
